,entropy,target_entropy,optimal_lambda
U111715,0.0,0.0,0.0
U355046,0.0,0.0,0.0
U51585,0.2846721173935298,0.8819307660227096,0.6
U7242,0.2922852532386289,0.8842614466950608,0.6
U277380,0.47712125471966244,0.9286731223594296,0.6
U99152,0.29381149150662433,0.8847221038231344,0.6
U256113,0.0,0.0,0.0
U418,0.10153442729122363,0.795538738544979,0.55
U125935,0.2173220112736489,0.8584408414296778,0.6
U80493,0.3010299956639812,0.8868720684261124,0.6
U218991,0.23004847928068486,0.8633401465087225,0.6
U228161,0.0,0.0,0.0
U158681,0.0,0.0,0.0
U216896,0.27643459094367495,0.8793448787869674,0.6
U111980,0.0,0.0,0.0
U171517,0.24421905028821556,0.8685162605279391,0.6
U93836,0.27643459094367495,0.8793448787869674,0.6
U108564,0.0,0.0,0.0
U369889,0.0,0.0,0.0
U320367,0.3010299956639812,0.8868720684261124,0.6
U312304,0.34583375120281473,0.8992630263434552,0.6
U106433,0.3685794545915667,0.9050094463023601,0.6
U414289,0.0,0.0,0.0
U231463,0.23004847928068486,0.8633401465087225,0.6
U142298,0.29834362199577563,0.8860774327784913,0.6
U275334,0.0,0.0,0.0
U336874,0.2922852532386289,0.8842614466950608,0.6
U19080,0.1323017760673159,0.816876810411866,0.55
U110011,0.0,0.0,0.0
U149077,0.0,0.0,0.0
U80859,0.0,0.0,0.0
U91703,0.16362920197946887,0.8344226441226801,0.6
U269396,0.0,0.0,0.0
U223494,0.0,0.0,0.0
U148812,0.4607243182394583,0.9254311496799309,0.6
U98185,0.0,0.0,0.0
U18225,0.2256506570425621,0.8616753321594035,0.6
U292643,0.0,0.0,0.0
U288378,0.1956762467702946,0.8494812764641811,0.6
U55284,0.08314310838727049,0.7797989134169757,0.55
U209806,0.0,0.0,0.0
U17347,0.296583221518423,0.8855532022010676,0.6
U168285,0.0,0.0,0.0
U16736,0.11467634904310196,0.8052808765500603,0.55
U316325,0.0,0.0,0.0
U99489,0.08314310838727049,0.7797989134169757,0.55
U31219,0.2173220112736489,0.8584408414296778,0.6
U225502,0.2606488137987774,0.87418947878795,0.6
U67787,0.2846721173935298,0.8819307660227096,0.6
U49015,0.2059160873144172,0.8538253164221412,0.6
U183319,0.0,0.0,0.0
U107163,0.0,0.0,0.0
U130512,0.3685794545915667,0.9050094463023601,0.6
U68134,0.10898828673962434,0.8011945429070193,0.55
U309536,0.0,0.0,0.0
U23319,0.1781112539711337,0.84152909552431,0.6
U443258,0.0,0.0,0.0
U214517,0.28731326376205846,0.8827456122680035,0.6
U42952,0.0,0.0,0.0
U52171,0.0,0.0,0.0
U17043,0.0,0.0,0.0
U121645,0.29586994710252207,0.8853399982747023,0.6
U22614,0.3091829455336887,0.8892452479494636,0.6
U197721,0.47712125471966244,0.9286731223594296,0.6
U47153,0.0,0.0,0.0
U105470,0.24421905028821556,0.8685162605279391,0.6
U62290,0.1956762467702946,0.8494812764641811,0.6
U115722,0.0,0.0,0.0
U124264,0.3705557519467467,0.905493539154607,0.6
U14962,0.09318185713493617,0.7887386743484854,0.55
U112610,0.1781112539711337,0.84152909552431,0.6
U475209,0.0,0.0,0.0
U232123,0.0,0.0,0.0
U157094,0.0,0.0,0.0
U61204,0.1781112539711337,0.84152909552431,0.6
U116827,0.1781112539711337,0.84152909552431,0.6
U370374,0.0,0.0,0.0
U379177,0.24421905028821556,0.8685162605279391,0.6
U62900,0.11175206567903243,0.8032034328528898,0.55
U100571,0.0,0.0,0.0
U377241,0.3010299956639812,0.8868720684261124,0.6
U114859,0.2893610509517874,0.8833727686287864,0.6
U257257,0.0,0.0,0.0
U125947,0.259825181013106,0.8739128471805006,0.6
U338835,0.0,0.0,0.0
U492059,0.0,0.0,0.0
U91640,0.2173220112736489,0.8584408414296778,0.6
U136111,0.3899728733539151,0.9101300207086085,0.6
U103247,0.1781112539711337,0.84152909552431,0.6
U153566,0.3194765492042109,0.8921623639256402,0.6
U156548,0.0,0.0,0.0
U341010,0.0,0.0,0.0
U153626,0.25185395891885953,0.8711940049512259,0.6
U5403,0.08621407475879371,0.7826323891723684,0.55
U175926,0.0,0.0,0.0
U62144,0.0,0.0,0.0
U93923,0.2652949955741215,0.8757354002970821,0.6
U153701,0.4150551890657122,0.9158209725820261,0.6
U153213,0.259825181013106,0.8739128471805006,0.6
U30573,0.16362920197946887,0.8344226441226801,0.6
U92720,0.1411817415046076,0.8222007213527138,0.55
U7066,0.19094620248307148,0.8474051568594659,0.6
U156996,0.0,0.0,0.0
U40654,0.10153442729122363,0.795538738544979,0.55
U3016,0.2807987042717494,0.8807233485867625,0.6
U121622,0.29834362199577563,0.8860774327784913,0.6
U154907,0.11175206567903243,0.8032034328528898,0.55
U290038,0.0,0.0,0.0
U93428,0.0,0.0,0.0
U451391,0.27643459094367495,0.8793448787869674,0.6
U77665,0.27164744600697827,0.8778100780334038,0.6
U326156,0.0,0.0,0.0
U9525,0.24174867859424037,0.8676336973386302,0.6
U148786,0.1781112539711337,0.84152909552431,0.6
U310365,0.27643459094367495,0.8793448787869674,0.6
U213289,0.0,0.0,0.0
U14786,0.35773693403041645,0.9023112622159717,0.6
U25677,0.27643459094367495,0.8793448787869674,0.6
U373814,0.0,0.0,0.0
U131795,0.27643459094367495,0.8793448787869674,0.6
U238733,0.2173220112736489,0.8584408414296778,0.6
U412039,0.0,0.0,0.0
U97390,0.0,0.0,0.0
U242314,0.24421905028821556,0.8685162605279391,0.6
U49920,0.1781112539711337,0.84152909552431,0.6
U454121,0.0,0.0,0.0
U262127,0.27643459094367495,0.8793448787869674,0.6
U121608,0.399100986937011,0.9122382541847097,0.6
U345837,0.0,0.0,0.0
U120007,0.0,0.0,0.0
U55840,0.29586994710252207,0.8853399982747023,0.6
U156710,0.3270127497380771,0.894244892917942,0.6
U112396,0.2726089294623838,0.8781202810560907,0.6
U103946,0.24421905028821556,0.8685162605279391,0.6
U219352,0.0,0.0,0.0
U95102,0.0,0.0,0.0
U398026,0.0,0.0,0.0
U230461,0.27643459094367495,0.8793448787869674,0.6
U327521,0.2922852532386289,0.8842614466950608,0.6
U262630,0.0,0.0,0.0
U20729,0.3010299956639812,0.8868720684261124,0.6
U152342,0.0,0.0,0.0
U232934,0.259825181013106,0.8739128471805006,0.6
U32284,0.23460767814076083,0.8650360804086593,0.6
U40242,0.2059160873144172,0.8538253164221412,0.6
U364433,0.24421905028821556,0.8685162605279391,0.6
U53577,0.0,0.0,0.0
U118242,0.0,0.0,0.0
U232677,0.0,0.0,0.0
