,entropy,target_entropy,optimal_lambda
U80234,0.665383677128836,0.7218678736712228,0.05
U44190,0.5409118281096172,0.6116474684977471,0.05
U70421,0.5838494978890342,0.6501906634185431,0.05
U8181,0.37753643742420556,0.458740515916547,0.05
U35337,0.461797596154145,0.5389659568145485,0.05
U44035,0.6273085295177967,0.6886284388395978,0.05
U65211,0.7952832539952787,0.8325636973164483,0.05
U66717,0.863370307956794,0.8891144879628803,0.1
U64634,0.6914290807454053,0.7443858571630794,0.05
U18498,0.8365243031847195,0.8669276412529722,0.1
U13878,0.7600390507138471,0.8029134359924768,0.05
U12784,0.6960252556658639,0.7483417906927621,0.05
U54826,0.3880689467541575,0.4689506190927155,0.05
U50612,0.7606236712434131,0.803407477536978,0.05
U11400,0.6846689508679098,0.7385578299571282,0.1
U52937,0.8486195262346973,0.8769410828202295,0.05
U86056,0.6240428848632934,0.6857590515338989,0.05
U5731,0.7650340001558736,0.8071320436810485,0.05
U34484,0.5447005046118866,0.6150723753820742,0.05
U42035,0.6115709849307205,0.6747726917118626,0.1
U19010,0.660705092495749,0.7178044119497672,0.1
U93010,0.739860769319846,0.7858144304179635,0.1
U76747,0.5945282833126319,0.6596871369870451,0.05
U47580,0.5517531165711628,0.6214351807804473,0.05
U52206,0.617450413624388,0.6799573438432993,0.1
U52203,0.6993179933002506,0.7511726416150295,0.05
U54225,0.5765982182447795,0.6437224222719446,0.05
U62036,0.49800736851644356,0.5725173005669895,0.05
U26257,0.607623111678282,0.6712857491055125,0.05
U26662,0.7172691736575091,0.7665592579783449,0.05
U51029,0.7369435290477497,0.7833347045947866,0.1
U70129,0.49193291899386093,0.5669238247093957,0.05
U26002,0.7751645447551938,0.8156711847599595,0.1
U60443,0.7739038284711489,0.814609735490133,0.05
U2387,0.7760148284688313,0.8163868788777191,0.05
U64227,0.7705871437359435,0.8118156275249191,0.05
U66627,0.6268146421043249,0.6881946724387981,0.05
U44187,0.601909284583507,0.6662309957769647,0.05
U10516,0.444923881418727,0.5231528237641944,0.05
U47469,0.6157426227736166,0.6784523854643714,0.05
U56555,0.6276352744111984,0.6889153714704985,0.05
U84035,0.6697840720732833,0.7256845089924543,0.05
U63532,0.6392494609521376,0.6990951615560356,0.05
U18209,0.5393965713980072,0.6102763572735611,0.05
U87111,0.6922474109869712,0.7450905789214909,0.05
U37346,0.6675095927979631,0.723712392055628,0.05
U52142,0.636257940435421,0.6964766682332354,0.05
U92056,0.7857003529289706,0.8245282852004855,0.05
U32948,0.5014596311525578,0.5756901271055612,0.05
U69198,0.715968634199324,0.7654471271428408,0.05
U63061,0.5354429911705455,0.6066952440806346,0.05
U73845,0.8291377648631333,0.8607982138740814,0.1
U8927,0.6117135960117788,0.6748985679507861,0.05
U56060,0.543124523955824,0.6136482930585153,0.05
U67596,0.6976086200267301,0.7497033831442675,0.05
U38274,0.5533829536034868,0.6229032855666394,0.05
U51553,0.7695333354988426,0.8109273541515466,0.05
U47002,0.5821596240720158,0.6486847156474349,0.05
U83808,0.4107961447774183,0.49079608226926535,0.05
U93556,0.6842949323270477,0.7382350469071509,0.1
U14643,0.6274792540690731,0.68877836516954,0.05
U71887,0.48329028223991827,0.5589416210230194,0.05
U2666,0.6866301128363196,0.7402497625180341,0.05
U69450,0.7840848903406851,0.8231717693868281,0.05
U33758,0.8448050250388367,0.8737862186976415,0.1
U45857,0.6698665638215754,0.7257560093450065,0.05
U20240,0.5597045252221695,0.6285894020145342,0.05
U91487,0.6283623628895503,0.6895537606102482,0.05
U41311,0.6157426227736166,0.6784523854643714,0.05
U46414,0.4666182597388393,0.5434622515262015,0.05
U29451,0.8009777993110029,0.8373294826564192,0.05
U39343,0.8289484860836481,0.8606410052055125,0.1
U41053,0.8482364578042952,0.8766243862556311,0.1
U65112,0.5755029210633339,0.6427439920682751,0.05
U81812,0.7738173358971743,0.8145369011376511,0.05
U31006,0.6926871220166664,0.7454691762094119,0.05
U24909,0.8259076716107906,0.8581144201770262,0.05
U82260,0.6972216289598664,0.7493706526109658,0.1
U76174,0.49697975267032185,0.571572014394025,0.05
U1098,0.7284627643637693,0.7761146584957889,0.1
U91600,0.694310521238005,0.7468665294248552,0.05
U38741,0.6039981763331744,0.6680800479968129,0.1
U56351,0.6768759037411355,0.7318250027754183,0.05
U87270,0.8505289934332741,0.8785192824679233,0.1
U10929,0.7720459375730148,0.8130448695331668,0.1
U79203,0.554951981477536,0.6243157986378034,0.05
U57905,0.8862186953504188,0.907888941047232,0.1
U75250,0.5956586544091556,0.660690351970686,0.1
U61303,0.7269781068695301,0.7748489801038326,0.05
U73080,0.7500939269685565,0.7944974715374142,0.1
U39852,0.6744417101327945,0.7297188024637831,0.05
U53534,0.791574986836846,0.8294565669916236,0.05
U11749,0.7966506375825616,0.8337086864259816,0.1
U55718,0.7613618898320285,0.8040312107358156,0.05
U82580,0.5603655701694138,0.6291832536293349,0.05
U8952,0.8307713800050424,0.8621547422714576,0.05
U19134,0.6692829172071925,0.7252500913250058,0.05
U58940,0.7319886443866574,0.7791184251740361,0.1
U73118,0.6616726857288493,0.7186452603637707,0.1
U38911,0.8093193484743849,0.8442983462093723,0.1
U23977,0.7941458556335258,0.8316109881125081,0.05
U47370,0.6587103591160852,0.7160701904427296,0.1
U29047,0.7791417564540479,0.8190175048945507,0.1
U41386,0.568418292115616,0.6364062503120229,0.05
U16117,0.8555466123421955,0.8826630382813899,0.1
U37201,0.7334673917995699,0.7803773373756437,0.05
U74293,0.8103521825023258,0.8451602149735309,0.05
U1166,0.7480410696883014,0.7927574902164738,0.05
U56892,0.3688183139095311,0.45024612362751887,0.05
U13055,0.5803979868576351,0.6471138841337173,0.05
U86568,0.8135676695940465,0.8478420367103646,0.05
U80719,0.8073568833261657,0.8426601219462732,0.05
U51137,0.23504518787566922,0.31399381347013844,0.05
U50667,0.6468569695098301,0.7057430490586026,0.05
U54899,0.7100898361565631,0.7604149333726333,0.05
U24691,0.7288877585372695,0.7764768732690728,0.05
U36621,0.7575095206804754,0.8007749453484299,0.1
U33705,0.6834948752423889,0.7375444683410523,0.05
U58108,0.45879996035092185,0.5361652923951707,0.05
U35110,0.8551372064560527,0.8823251165513369,0.1
U10045,0.4995275802173877,0.5739150022025604,0.05
U44420,0.8206658005103811,0.8537546230926288,0.1
U60575,0.7012155050018799,0.7528027698907904,0.05
U83929,0.5763225542887563,0.6434762063812782,0.05
U15806,0.6972911183436565,0.7494304015157544,0.05
U90061,0.6477373758748436,0.7065113872601037,0.05
U83958,0.5700153648331042,0.6378363264683458,0.05
U79210,0.8334651894477849,0.8643904750307724,0.1
U92969,0.8116302509261272,0.8462264203614915,0.05
U53401,0.5650413659771449,0.6333797795092078,0.05
U21671,0.6755638038940549,0.7306898892338276,0.05
U67959,0.7990658195197624,0.8357300979306025,0.1
U86800,0.6075703927234694,0.6712391547091477,0.05
U19078,0.8030056866630172,0.8390249907290869,0.1
U47366,0.6424690937539768,0.7019105861809996,0.05
U38489,0.5940402201633993,0.6592538584628145,0.05
U75465,0.7105033735433499,0.7607691890505628,0.05
U48110,0.2076531463079713,0.28436151060569337,0.05
U39701,0.7993678012524149,0.835982758655718,0.1
U1130,0.6862409191754345,0.7399140745330306,0.1
U82772,0.4056838710822129,0.4859036857124745,0.05
U44468,0.8002606946938897,0.8367297091140635,0.05
U1019,0.45879996035092185,0.5361652923951707,0.05
U68138,0.6881999405263829,0.7416033869692513,0.05
U9668,0.7505166905373002,0.7948556833801551,0.05
U73701,0.6924477618199404,0.7452630897270727,0.1
U69230,0.7388073763891163,0.7849192465421567,0.05
U17440,0.7132694444312346,0.7631376772108006,0.05
U33568,0.37348061874765004,0.4547937164259469,0.05
U18317,0.6315432012829438,0.6923448265878933,0.05
U7044,0.5957908043869826,0.6608076114485651,0.05
U55633,0.661024862030593,0.718082322174749,0.05
U61438,0.7280292000019621,0.7757450959536435,0.05
U34787,0.6976086200267301,0.7497033831442675,0.05
U18795,0.8007903183288306,0.8371726872708568,0.05
U27613,0.6240428848632934,0.6857590515338989,0.05
U48783,0.7739967731640197,0.8146880012793677,0.1
U4525,0.8328048683050118,0.8638425740044707,0.05
U91301,0.5387254083449877,0.6096687954824451,0.05
U82136,0.7038916533913439,0.7551003166074923,0.1
U56575,0.38954970906993475,0.4703815809850913,0.05
U67144,0.6613775993585062,0.7183888533697256,0.1
U55465,0.42439830048937655,0.5037544654207045,0.05
U47232,0.8272870168042051,0.8592607356744085,0.1
U64120,0.4993295171128888,0.5737329487595049,0.05
U84319,0.7971464285845494,0.8341237436946051,0.05
U16985,0.7648052223728613,0.8069389443917486,0.1
U72613,0.723638311617226,0.7719998951218626,0.05
U57416,0.49193291899386093,0.5669238247093957,0.05
U22741,0.7142018094403856,0.7639356139942735,0.05
U61669,0.7627976804867852,0.8052439879711033,0.05
U52740,0.803941316044411,0.8398069777279684,0.1
U37889,0.7720321999665076,0.8130332958069713,0.1
U24316,0.570249951947047,0.6380463166340312,0.1
U89068,0.4332769405847128,0.5121680240405279,0.05
U71610,0.7291857935288888,0.7767308578529329,0.1
U82650,0.48948153549616186,0.564662635716764,0.05
U7869,0.8094077128518617,0.8443720922117333,0.05
U80861,0.7277959970621367,0.7755462997158318,0.05
U4961,0.455777321106054,0.5333375593255733,0.05
U51297,0.7144539510990051,0.7641513661146999,0.05
U80098,0.7927810441001499,0.8304674324770117,0.05
U2171,0.5031540453241287,0.5772457910757436,0.05
U11993,0.8351289285895847,0.8657705767467069,0.1
U37966,0.818003491871988,0.851538182118014,0.05
U2071,0.7224972739137483,0.7710259058138303,0.05
U45324,0.543124523955824,0.6136482930585153,0.05
U28185,0.7930803544265486,0.8307182539082354,0.1
U83199,0.775596002425288,0.8160343675266034,0.1
U81685,0.5886769375505561,0.6544878934900018,0.05
U38830,0.8512325380944433,0.8791005926371558,0.1
U35996,0.3270154117587008,0.4089352768599434,0.05
U62131,0.619489499155243,0.681753159508318,0.05
U75988,0.7819219915282535,0.8213546917301879,0.1
U70892,0.7247874713192046,0.7729805069687118,0.1
U17880,0.7229601227912442,0.7714210304814811,0.05
U88694,0.8546730658725049,0.8819419779169496,0.05
U3516,0.8398685943632904,0.86969920566451,0.05
U37208,0.7150215600038974,0.7646370009649808,0.1
U73614,0.8286502252870146,0.8603932651217517,0.1
U17211,0.7735310113561454,0.8142957790801285,0.1
U38992,0.4910032126854847,0.5660665170189627,0.05
U8334,0.5674645428699048,0.6355518458681298,0.05
U32901,0.8209459924352266,0.8539878064272985,0.1
U84006,0.6869957617566189,0.7405651079833059,0.05
U81641,0.6261857824790125,0.6876422650747188,0.05
U21491,0.7573183870139107,0.8006133010026141,0.05
U78861,0.7377270808686184,0.7840009354007598,0.1
U71932,0.7358295609045651,0.7823872866654462,0.05
U74929,0.7800154118281079,0.8197521171428644,0.1
U68479,0.7544024134316573,0.7981462091554399,0.1
U70597,0.82861535736421,0.860364302115387,0.05
U39832,0.6247740582747953,0.6864017638553815,0.05
U6100,0.46607259363946096,0.542953769715908,0.05
U91093,0.32036452947894106,0.4022680499983671,0.05
U2985,0.7059786579652922,0.7568908548122312,0.05
U56621,0.696897686126253,0.749092101833493,0.1
U18737,0.7937252108705541,0.8312585779476708,0.1
U42773,0.6966004976937507,0.7488365337555093,0.05
U30369,0.7884100725405556,0.8268024050718332,0.1
U11055,0.7482075323996698,0.7928986178954318,0.1
U48290,0.7854423002566003,0.824311633938191,0.05
U51499,0.8046502625877883,0.8403993849177341,0.05
U73038,0.6846459418928014,0.7385379739191839,0.1
U41553,0.7560919180178661,0.7995758651938094,0.1
U75747,0.6871080980635896,0.7406619830951199,0.1
U68890,0.7987240759941436,0.8354441464507806,0.1
U78929,0.5623806629993257,0.6309926544312914,0.05
U61960,0.6273085295177967,0.6886284388395978,0.05
U21479,0.7373592856732657,0.7836882277197008,0.1
U1228,0.8038622580320457,0.8397409091012856,0.1
U87545,0.826808083729501,0.8588627579883351,0.1
U51411,0.608231637800418,0.6718235219611899,0.05
U67769,0.8742330883010233,0.8980526357560696,0.1
U60643,0.7217908537615253,0.7704227516892914,0.05
U43708,0.6525938746888267,0.7107459514005438,0.05
U82821,0.7688454539358535,0.8103473955388725,0.05
U65999,0.6866757195330432,0.7402890967931309,0.05
U90948,0.6941269089104044,0.7467085165189783,0.05
