,entropy,target_entropy,optimal_lambda
U80234,0.665383677128836,0.6930505754882051,0.05
U44190,0.5409118281096172,0.5751933156285249,0.05
U70421,0.5838494978890342,0.616127821453515,0.05
U8181,0.37753643742420556,0.41616254045898365,0.05
U35337,0.461797596154145,0.4988919555032705,0.05
U44035,0.6273085295177967,0.6572537511133764,0.05
U65211,0.7952832539952787,0.8137100013888027,0.05
U66717,0.863370307956794,0.876147846702461,0.05
U64634,0.6914290807454053,0.7174190051414505,0.05
U18498,0.8365243031847195,0.8515903011488065,0.05
U13878,0.7600390507138471,0.7811821591006257,0.05
U12784,0.6960252556658639,0.7217096273380176,0.05
U54826,0.3880689467541575,0.42659720209000457,0.05
U50612,0.7606236712434131,0.7817229336974746,0.05
U11400,0.6846689508679098,0.7111030970204159,0.05
U52937,0.8486195262346973,0.8626640865589836,0.05
U86056,0.6240428848632934,0.6541735678245723,0.05
U5731,0.7650340001558736,0.785801155529373,0.05
U34484,0.5447005046118866,0.5788179620946878,0.05
U42035,0.6115709849307205,0.6423950495408391,0.05
U19010,0.660705092495749,0.6886632198623124,0.05
U93010,0.739860769319846,0.7624914878421077,0.05
U76747,0.5945282833126319,0.6262608570526605,0.05
U47580,0.5517531165711628,0.5855585348558894,0.05
U52206,0.617450413624388,0.6479505715739322,0.05
U52203,0.6993179933002506,0.7247817218696059,0.05
U54225,0.5765982182447795,0.6092365728731466,0.05
U62036,0.49800736851644356,0.5339642631164601,0.05
U26257,0.607623111678282,0.6386616754564016,0.05
U26662,0.7172691736575091,0.7415047710767887,0.05
U51029,0.7369435290477497,0.7597851285920636,0.05
U70129,0.49193291899386093,0.5280989414271317,0.0
U26002,0.7751645447551938,0.7951599729641725,0.05
U60443,0.7739038284711489,0.7939959653585678,0.05
U2387,0.7760148284688313,0.7959449250899824,0.05
U64227,0.7705871437359435,0.7909327946511195,0.05
U66627,0.6268146421043249,0.6567880154987821,0.05
U44187,0.601909284583507,0.6332539948831514,0.05
U10516,0.444923881418727,0.4824553709145879,0.05
U47469,0.6157426227736166,0.6463374128524889,0.05
U56555,0.6276352744111984,0.6575618512497353,0.05
U84035,0.6697840720732833,0.6971742432659623,0.05
U63532,0.6392494609521376,0.6685029582424773,0.05
U18209,0.5393965713980072,0.5737429517812173,0.05
U87111,0.6922474109869712,0.7181831411340603,0.05
U37346,0.6675095927979631,0.6950431383186889,0.05
U52142,0.636257940435421,0.665686720981726,0.05
U92056,0.7857003529289706,0.8048802175988302,0.05
U32948,0.5014596311525578,0.537294480519318,0.05
U69198,0.715968634199324,0.74029462659961,0.05
U63061,0.5354429911705455,0.5699567669740216,0.05
U73845,0.8291377648631333,0.8448196890755644,0.05
U8927,0.6117135960117788,0.6425298669668011,0.05
U56060,0.543124523955824,0.5773105204685864,0.05
U67596,0.6976086200267301,0.7231870729933185,0.05
U38274,0.5533829536034868,0.587115031298112,0.05
U51553,0.7695333354988426,0.7899592595112047,0.05
U47002,0.5821596240720158,0.614522619764784,0.05
U83808,0.4107961447774183,0.4490179712083636,0.0
U93556,0.6842949323270477,0.7107534744655025,0.05
U14643,0.6274792540690731,0.6574147357608427,0.05
U71887,0.48329028223991827,0.519741333530298,0.05
U2666,0.6866301128363196,0.7129360265583558,0.05
U69450,0.7840848903406851,0.8033906562384322,0.05
U33758,0.8448050250388367,0.8591734332283858,0.05
U45857,0.6698665638215754,0.6972515214417239,0.05
U20240,0.5597045252221695,0.5931478170019951,0.05
U91487,0.6283623628895503,0.6582473929735163,0.05
U41311,0.6157426227736166,0.6463374128524889,0.05
U46414,0.4666182597388393,0.5035766178456934,0.05
U29451,0.8009777993110029,0.8189519682596527,0.05
U39343,0.8289484860836481,0.8446461142553245,0.05
U41053,0.8482364578042952,0.862313611293676,0.05
U65112,0.5755029210633339,0.608194907025043,0.05
U81812,0.7738173358971743,0.7939161006229041,0.05
