,entropy,target_entropy,optimal_lambda
U80234,0.665383677128836,0.9600795391593466,0.65
U44190,0.5409118281096172,0.9404000592714683,0.65
U70421,0.5838494978890342,0.9476109949258051,0.6
U8181,0.37753643742420556,0.9071850556463406,0.65
U35337,0.461797596154145,0.9256465073450512,0.65
U44035,0.6273085295177967,0.954438873045832,0.65
U65211,0.7952832539952787,0.9773546504748939,0.65
U66717,0.863370307956794,0.9854162299276799,0.65
U64634,0.6914290807454053,0.9637730193794896,0.65
U18498,0.8365243031847195,0.9823083964862414,0.7
U13878,0.7600390507138471,0.9729344709931411,0.65
U12784,0.6960252556658639,0.9644117652041183,0.65
U54826,0.3880689467541575,0.9096846975388312,0.7
U50612,0.7606236712434131,0.9730092830278575,0.65
U11400,0.6846689508679098,0.9628265630352792,0.65
U52937,0.8486195262346973,0.9837195490769673,0.65
U86056,0.6240428848632934,0.9539408431595957,0.7
U5731,0.7650340001558736,0.9735719969010365,0.65
U34484,0.5447005046118866,0.9410566711521298,0.65
U42035,0.6115709849307205,0.9520169642774324,0.7
U19010,0.660705092495749,0.9594023224121753,0.7
U93010,0.739860769319846,0.9703200378192971,0.7
U76747,0.5945282833126319,0.9493301020131291,0.65
U47580,0.5517531165711628,0.9422680803499067,0.65
U52206,0.617450413624388,0.952928264457802,0.7
U52203,0.6993179933002506,0.9648670381702362,0.6
U54225,0.5765982182447795,0.9464274535022655,0.65
U62036,0.49800736851644356,0.9326604848231685,0.65
U26257,0.607623111678282,0.9514006163655604,0.65
U26662,0.7172691736575091,0.9673156554554795,0.65
U51029,0.7369435290477497,0.9699367641129789,0.65
U70129,0.49193291899386093,0.9315165784359729,0.6
U26002,0.7751645447551938,0.974853578036077,0.7
U60443,0.7739038284711489,0.9746949131179209,0.65
U2387,0.7760148284688313,0.9749604576988816,0.65
U64227,0.7705871437359435,0.9742763847285527,0.65
U66627,0.6268146421043249,0.954363702310106,0.65
U44187,0.601909284583507,0.9505021515017397,0.65
U10516,0.444923881418727,0.9222073340696515,0.65
U47469,0.6157426227736166,0.9526643677582457,0.65
U56555,0.6276352744111984,0.9544885750569932,0.65
U84035,0.6697840720732833,0.9607125887721155,0.65
U63532,0.6392494609521376,0.9562402874517589,0.65
U18209,0.5393965713980072,0.9401362922601842,0.65
U87111,0.6922474109869712,0.9638870245462253,0.65
U37346,0.6675095927979631,0.9603858465715819,0.65
U52142,0.636257940435421,0.955791846797087,0.65
U92056,0.7857003529289706,0.9761705353784463,0.65
U32948,0.5014596311525578,0.9333050111884188,0.65
U69198,0.715968634199324,0.9671401202626279,0.65
U63061,0.5354429911705455,0.9394449231882719,0.65
U73845,0.8291377648631333,0.9814375488459663,0.7
U8927,0.6117135960117788,0.9520391618517329,0.65
U56060,0.543124523955824,0.9407840403029298,0.65
U67596,0.6976086200267301,0.964630931716302,0.6
U38274,0.5533829536034868,0.9425460499281655,0.65
U51553,0.7695333354988426,0.9741430665361137,0.65
U47002,0.5821596240720158,0.9473363637856724,0.65
U83808,0.4107961447774183,0.914876844844126,0.65
U93556,0.6842949323270477,0.9627739531511231,0.7
U14643,0.6274792540690731,0.9544648453048067,0.65
U71887,0.48329028223991827,0.9298669377653896,0.7
U2666,0.6866301128363196,0.9631019996997122,0.65
U69450,0.7840848903406851,0.9759696409861934,0.65
U33758,0.8448050250388367,0.9832764752332261,0.65
U45857,0.6698665638215754,0.9607244204164318,0.65
U20240,0.5597045252221695,0.943617272421466,0.65
U91487,0.6283623628895503,0.9545990908540242,0.65
U41311,0.6157426227736166,0.9526643677582457,0.65
U46414,0.4666182597388393,0.9266082721136609,0.65
