,entropy,target_entropy,optimal_lambda
U80234,0.665383677128836,0.8496280796155591,0.3
U44190,0.5409118281096172,0.782078940067911,0.25
U70421,0.5838494978890342,0.8063440105925901,0.25
U8181,0.37753643742420556,0.6773038578928567,0.3
U35337,0.461797596154145,0.7341430084217574,0.3
U44035,0.6273085295177967,0.8298363928146305,0.3
U65211,0.7952832539952787,0.9124492847914608,0.3
U66717,0.863370307956794,0.9429286759680608,0.35
U64634,0.6914290807454053,0.8627779883394565,0.3
U18498,0.8365243031847195,0.9310894915382582,0.35
U13878,0.7600390507138471,0.8960543711139837,0.3
U12784,0.6960252556658639,0.865067506436788,0.3
U54826,0.3880689467541575,0.6847996926786077,0.3
U50612,0.7606236712434131,0.8963300048179678,0.3
U11400,0.6846689508679098,0.8593938735859874,0.3
U52937,0.8486195262346973,0.9364513243197585,0.3
U86056,0.6240428848632934,0.8281057007012445,0.35
U5731,0.7650340001558736,0.8984052780794692,0.3
U34484,0.5447005046118866,0.7842655005685729,0.3
U42035,0.6115709849307205,0.8214454891907694,0.35
U19010,0.660705092495749,0.8472333869423272,0.35
U93010,0.739860769319846,0.8864617478594119,0.35
U76747,0.5945282833126319,0.8122112637651888,0.3
U47580,0.5517531165711628,0.7883116013230094,0.25
U52206,0.617450413624388,0.8245952606238405,0.35
U52203,0.6993179933002506,0.8667021643073413,0.25
U54225,0.5765982182447795,0.8023231408054641,0.3
U62036,0.49800736851644356,0.7566487299711733,0.3
U26257,0.607623111678282,0.8193202970179078,0.3
U26662,0.7172691736575091,0.8755336989393069,0.3
U51029,0.7369435290477497,0.8850619778268562,0.3
U70129,0.49193291899386093,0.7529434405779731,0.25
U26002,0.7751645447551938,0.903145162617815,0.35
U60443,0.7739038284711489,0.9025573308605571,0.3
U2387,0.7760148284688313,0.9035412989331031,0.3
U64227,0.7705871437359435,0.9010081173468523,0.3
U66627,0.6268146421043249,0.8295749950660266,0.3
U44187,0.601909284583507,0.8162297444818858,0.3
U10516,0.444923881418727,0.7232930414183413,0.3
U47469,0.6157426227736166,0.8236822114531619,0.3
U56555,0.6276352744111984,0.8300092598703334,0.3
U84035,0.6697840720732833,0.8518711809848096,0.3
U63532,0.6392494609521376,0.8361191072784042,0.3
U18209,0.5393965713980072,0.7812018671723469,0.3
U87111,0.6922474109869712,0.8631862944472015,0.3
U37346,0.6675095927979631,0.8507128728634756,0.3
U52142,0.636257940435421,0.8345517768438548,0.3
U92056,0.7857003529289706,0.9080353986494609,0.3
U32948,0.5014596311525578,0.758742464282553,0.3
U69198,0.715968634199324,0.8748983524632109,0.3
U63061,0.5354429911705455,0.7789064411600629,0.3
U73845,0.8291377648631333,0.9277921178120029,0.35
U8927,0.6117135960117788,0.8215221043592108,0.3
U56060,0.543124523955824,0.7833570661317324,0.25
U67596,0.6976086200267301,0.8658541350275273,0.25
U38274,0.5533829536034868,0.7892422223668976,0.3
U51553,0.7695333354988426,0.900515049375382,0.3
U47002,0.5821596240720158,0.8054096570363649,0.3
