,entropy,target_entropy,optimal_lambda
U80234,0.665383677128836,0.7831469946590156,0.15
U44190,0.5409118281096172,0.6916332871239925,0.15
U70421,0.5838494978890342,0.7240699877710476,0.15
U8181,0.37753643742420556,0.5574107293567615,0.15
U35337,0.461797596154145,0.6290294817993379,0.15
U44035,0.6273085295177967,0.7559424182278848,0.15
U65211,0.7952832539952787,0.8715917336458209,0.2
U66717,0.863370307956794,0.9156263140161816,0.2
U64634,0.6914290807454053,0.8013986101756752,0.15
U18498,0.8365243031847195,0.8984359836375051,0.2
U13878,0.7600390507138471,0.848206398199876,0.15
U12784,0.6960252556658639,0.8045906827928275,0.15
U54826,0.3880689467541575,0.5666897209550694,0.15
U50612,0.7606236712434131,0.8485978012059133,0.15
U11400,0.6846689508679098,0.796688191423795,0.2
U52937,0.8486195262346973,0.9062078339748597,0.15
U86056,0.6240428848632934,0.7535787814705907,0.2
U5731,0.7650340001558736,0.8515466447295313,0.15
U34484,0.5447005046118866,0.6945358481496283,0.15
U42035,0.6115709849307205,0.7445058655482999,0.2
U19010,0.660705092495749,0.7798383570319857,0.2
U93010,0.739860769319846,0.834622329848331,0.2
U76747,0.5945282833126319,0.7319872425267309,0.15
U47580,0.5517531165711628,0.699917539771285,0.15
U52206,0.617450413624388,0.7487920960851281,0.2
U52203,0.6993179933002506,0.8068723283495406,0.15
U54225,0.5765982182447795,0.7186608349173675,0.15
U62036,0.49800736851644356,0.6581751198279505,0.15
U26257,0.607623111678282,0.7416185268323717,0.15
U26662,0.7172691736575091,0.819236512000015,0.15
U51029,0.7369435290477497,0.8326462411787361,0.2
U70129,0.49193291899386093,0.6533464434144539,0.15
U26002,0.7751645447551938,0.8582945210140278,0.2
U60443,0.7739038284711489,0.857456697773712,0.15
U2387,0.7760148284688313,0.8588592789119276,0.15
U64227,0.7705871437359435,0.8552499460327261,0.15
U66627,0.6268146421043249,0.755585264541919,0.15
U44187,0.601909284583507,0.7374263050969528,0.15
U10516,0.444923881418727,0.615136405220011,0.15
U47469,0.6157426227736166,0.7475487684592668,0.15
U56555,0.6276352744111984,0.7561786413193143,0.2
U84035,0.6697840720732833,0.7862504179317069,0.15
U63532,0.6392494609521376,0.7645435385789904,0.2
U18209,0.5393965713980072,0.6904701512688612,0.15
U87111,0.6922474109869712,0.801967565333388,0.15
U37346,0.6675095927979631,0.7846473400022085,0.15
U52142,0.636257940435421,0.7623948065171579,0.2
U92056,0.7857003529289706,0.8652750257286866,0.2
U32948,0.5014596311525578,0.6609088785174623,0.15
U69198,0.715968634199324,0.8183449336526556,0.15
U63061,0.5354429911705455,0.6874291479385951,0.15
U73845,0.8291377648631333,0.8936676103893569,0.2
U8927,0.6117135960117788,0.7446100266394132,0.15
U56060,0.543124523955824,0.6933294501801176,0.15
U67596,0.6976086200267301,0.8056883853820848,0.15
U38274,0.5533829536034868,0.7011573100383799,0.15
U51553,0.7695333354988426,0.8545480012050978,0.15
U47002,0.5821596240720158,0.7228118249961967,0.15
U83808,0.4107961447774183,0.5863754989749866,0.15
U93556,0.6842949323270477,0.7964270356769699,0.2
U14643,0.6274792540690731,0.7560658511801578,0.15
U71887,0.48329028223991827,0.6464349629872117,0.2
U2666,0.6866301128363196,0.7980566256327768,0.15
U69450,0.7840848903406851,0.8642071416795429,0.15
U33758,0.8448050250388367,0.9037616176002545,0.2
U45857,0.6698665638215754,0.7863085180658248,0.15
U20240,0.5597045252221695,0.7059521917714505,0.15
U91487,0.6283623628895503,0.7567041198731268,0.15
U41311,0.6157426227736166,0.7475487684592668,0.15
U46414,0.4666182597388393,0.632961125437382,0.15
U29451,0.8009777993110029,0.8753309556504152,0.2
U39343,0.8289484860836481,0.8935451988586074,0.2
U41053,0.8482364578042952,0.9059623734722366,0.2
U65112,0.5755029210633339,0.7178414291565329,0.15
U81812,0.7738173358971743,0.8573991981527411,0.15
U31006,0.6926871220166664,0.8022731692490859,0.15
U24909,0.8259076716107906,0.8915770895790445,0.15
U82260,0.6972216289598664,0.8054201873116436,0.2
U76174,0.49697975267032185,0.6573599143286644,0.15
U1098,0.7284627643637693,0.8268836687323666,0.2
U91600,0.694310521238005,0.8034007777680136,0.15
U38741,0.6039981763331744,0.7389607585259016,0.2
U56351,0.6768759037411355,0.7912348950924742,0.15
U87270,0.8505289934332741,0.9074307115063726,0.2
U10929,0.7720459375730148,0.8562210196354895,0.2
U79203,0.554951981477536,0.7023494454259119,0.2
U57905,0.8862186953504188,0.9300890780124464,0.2
U75250,0.5956586544091556,0.7328219576027698,0.2
U61303,0.7269781068695301,0.8258721085196326,0.15
U73080,0.7500939269685565,0.8415295866084315,0.2
U39852,0.6744417101327945,0.7895263929692796,0.15
U53534,0.791574986836846,0.8691510064950237,0.15
U11749,0.7966506375825616,0.8724905762095766,0.2
U55718,0.7613618898320285,0.8490918661294236,0.15
U82580,0.5603655701694138,0.7064523370483188,0.15
U8952,0.8307713800050424,0.8947236478183107,0.15
U19134,0.6692829172071925,0.7858973857599555,0.15
U58940,0.7319886443866574,0.8292827014472397,0.2
U73118,0.6616726857288493,0.7805233937901304,0.2
U38911,0.8093193484743849,0.8807891455401706,0.2
U23977,0.7941458556335258,0.8708435996278796,0.15
U47370,0.6587103591160852,0.7784248578218024,0.2
U29047,0.7791417564540479,0.8609340569507227,0.2
U41386,0.568418292115616,0.7125261819579686,0.15
U16117,0.8555466123421955,0.9106389154124986,0.2
U37201,0.7334673917995699,0.8302874749419179,0.15
U74293,0.8103521825023258,0.8814633987513877,0.15
U1166,0.7480410696883014,0.8401469702140756,0.15
U56892,0.3688183139095311,0.5496515877769925,0.15
U13055,0.5803979868576351,0.721498675944481,0.15
U86568,0.8135676695940465,0.8835603307243806,0.15
U80719,0.8073568833261657,0.8795070628408118,0.2
U51137,0.23504518787566922,0.41946025693438965,0.1
U50667,0.6468569695098301,0.7699897732754724,0.15
U54899,0.7100898361565631,0.8143066432633969,0.15
U24691,0.7288877585372695,0.827173083454779,0.15
U36621,0.7575095206804754,0.8465114900757293,0.2
U33705,0.6834948752423889,0.7958682098202648,0.15
U58108,0.45879996035092185,0.6265763853800678,0.15
U35110,0.8551372064560527,0.9103774288147981,0.2
U10045,0.4995275802173877,0.6593798676938396,0.15
U44420,0.8206658005103811,0.888177569966639,0.2
U60575,0.7012155050018799,0.8081852245319747,0.15
U83929,0.5763225542887563,0.718454665876885,0.15
U15806,0.6972911183436565,0.8054683502210627,0.15
U90061,0.6477373758748436,0.7706184001718686,0.15
U83958,0.5700153648331042,0.7137266895985376,0.15
U79210,0.8334651894477849,0.8964632269992763,0.2
U92969,0.8116302509261272,0.8822972698475745,0.15
U53401,0.5650413659771449,0.7099833202430694,0.15
U21671,0.6755638038940549,0.7903142695790036,0.15
U67959,0.7990658195197624,0.8740766774467451,0.2
U86800,0.6075703927234694,0.7415799193159842,0.15
U19078,0.8030056866630172,0.8766599623887392,0.2
U47366,0.6424690937539768,0.7668516287907505,0.15
U38489,0.5940402201633993,0.7316266393183972,0.15
U75465,0.7105033735433499,0.8145911484167478,0.15
U48110,0.2076531463079713,0.3894064219668788,0.1
U39701,0.7993678012524149,0.8742748603016903,0.2
U1130,0.6862409191754345,0.7977851835910591,0.2
U82772,0.4056838710822129,0.581986143937974,0.15
U44468,0.8002606946938897,0.8748606682250079,0.2
U1019,0.45879996035092185,0.6265763853800678,0.15
U68138,0.6881999405263829,0.799150873427286,0.15
U9668,0.7505166905373002,0.8418141333398282,0.15
U73701,0.6924477618199404,0.8021068209531881,0.2
U69230,0.7388073763891163,0.8339091396237215,0.2
U17440,0.7132694444312346,0.8164924474552372,0.15
U33568,0.37348061874765004,0.5538100616682297,0.15
U18317,0.6315432012829438,0.759000109460866,0.2
U7044,0.5957908043869826,0.7329195014979297,0.15
U55633,0.661024862030593,0.7800647918686234,0.15
U61438,0.7280292000019621,0.8265883482345293,0.15
U34787,0.6976086200267301,0.8056883853820848,0.15
U18795,0.8007903183288306,0.8752080192164768,0.15
U27613,0.6240428848632934,0.7535787814705907,0.2
U48783,0.7739967731640197,0.8575184838502177,0.2
U4525,0.8328048683050118,0.8960370202703566,0.15
U91301,0.5387254083449877,0.689954537928513,0.15
U82136,0.7038916533913439,0.810034449753211,0.2
U56575,0.38954970906993475,0.5679861300841379,0.15
U67144,0.6613775993585062,0.7803145210034874,0.2
