,entropy,target_entropy,optimal_lambda
U80234,0.665383677128836,1.0,1.0
U44190,0.5409118281096172,1.0,1.0
U70421,0.5838494978890342,1.0,1.0
U8181,0.37753643742420556,1.0,1.0
U35337,0.461797596154145,1.0,1.0
U44035,0.6273085295177967,1.0,1.0
U65211,0.7952832539952787,1.0,1.0
U66717,0.863370307956794,1.0,1.0
U64634,0.6914290807454053,1.0,1.0
U18498,0.8365243031847195,1.0,1.0
U13878,0.7600390507138471,1.0,1.0
U12784,0.6960252556658639,1.0,1.0
U54826,0.3880689467541575,1.0,1.0
U50612,0.7606236712434131,1.0,1.0
U11400,0.6846689508679098,1.0,1.0
U52937,0.8486195262346973,1.0,1.0
U86056,0.6240428848632934,1.0,1.0
U5731,0.7650340001558736,1.0,1.0
U34484,0.5447005046118866,1.0,1.0
U42035,0.6115709849307205,1.0,1.0
U19010,0.660705092495749,1.0,1.0
U93010,0.739860769319846,1.0,1.0
U76747,0.5945282833126319,1.0,1.0
U47580,0.5517531165711628,1.0,1.0
U52206,0.617450413624388,1.0,1.0
U52203,0.6993179933002506,1.0,1.0
U54225,0.5765982182447795,1.0,1.0
U62036,0.49800736851644356,1.0,1.0
U26257,0.607623111678282,1.0,1.0
U26662,0.7172691736575091,1.0,1.0
U51029,0.7369435290477497,1.0,1.0
U70129,0.49193291899386093,1.0,1.0
U26002,0.7751645447551938,1.0,1.0
U60443,0.7739038284711489,1.0,1.0
U2387,0.7760148284688313,1.0,1.0
U64227,0.7705871437359435,1.0,1.0
U66627,0.6268146421043249,1.0,1.0
U44187,0.601909284583507,1.0,1.0
U10516,0.444923881418727,1.0,1.0
U47469,0.6157426227736166,1.0,1.0
U56555,0.6276352744111984,1.0,1.0
U84035,0.6697840720732833,1.0,1.0
U63532,0.6392494609521376,1.0,1.0
U18209,0.5393965713980072,1.0,1.0
U87111,0.6922474109869712,1.0,1.0
U37346,0.6675095927979631,1.0,1.0
U52142,0.636257940435421,1.0,1.0
U92056,0.7857003529289706,1.0,1.0
U32948,0.5014596311525578,1.0,1.0
U69198,0.715968634199324,1.0,1.0
U63061,0.5354429911705455,1.0,1.0
U73845,0.8291377648631333,1.0,1.0
U8927,0.6117135960117788,1.0,1.0
U56060,0.543124523955824,1.0,1.0
U67596,0.6976086200267301,1.0,1.0
U38274,0.5533829536034868,1.0,1.0
U51553,0.7695333354988426,1.0,1.0
U47002,0.5821596240720158,1.0,1.0
U83808,0.4107961447774183,1.0,1.0
U93556,0.6842949323270477,1.0,1.0
U14643,0.6274792540690731,1.0,1.0
U71887,0.48329028223991827,1.0,1.0
U2666,0.6866301128363196,1.0,1.0
U69450,0.7840848903406851,1.0,1.0
U33758,0.8448050250388367,1.0,1.0
U45857,0.6698665638215754,1.0,1.0
U20240,0.5597045252221695,1.0,1.0
U91487,0.6283623628895503,1.0,1.0
U41311,0.6157426227736166,1.0,1.0
U46414,0.4666182597388393,1.0,1.0
U29451,0.8009777993110029,1.0,1.0
U39343,0.8289484860836481,1.0,1.0
U41053,0.8482364578042952,1.0,1.0
U65112,0.5755029210633339,1.0,1.0
U81812,0.7738173358971743,1.0,1.0
U31006,0.6926871220166664,1.0,1.0
U24909,0.8259076716107906,1.0,1.0
U82260,0.6972216289598664,1.0,1.0
U76174,0.49697975267032185,1.0,1.0
U1098,0.7284627643637693,1.0,1.0
U91600,0.694310521238005,1.0,1.0
U38741,0.6039981763331744,1.0,1.0
U56351,0.6768759037411355,1.0,1.0
U87270,0.8505289934332741,1.0,1.0
U10929,0.7720459375730148,1.0,1.0
U79203,0.554951981477536,1.0,1.0
U57905,0.8862186953504188,1.0,1.0
U75250,0.5956586544091556,1.0,1.0
U61303,0.7269781068695301,1.0,1.0
U73080,0.7500939269685565,1.0,1.0
U39852,0.6744417101327945,1.0,1.0
U53534,0.791574986836846,1.0,1.0
U11749,0.7966506375825616,1.0,1.0
U55718,0.7613618898320285,1.0,1.0
U82580,0.5603655701694138,1.0,1.0
U8952,0.8307713800050424,1.0,1.0
U19134,0.6692829172071925,1.0,1.0
U58940,0.7319886443866574,1.0,1.0
U73118,0.6616726857288493,1.0,1.0
U38911,0.8093193484743849,1.0,1.0
U23977,0.7941458556335258,1.0,1.0
U47370,0.6587103591160852,1.0,1.0
U29047,0.7791417564540479,1.0,1.0
U41386,0.568418292115616,1.0,1.0
U16117,0.8555466123421955,1.0,1.0
U37201,0.7334673917995699,1.0,1.0
U74293,0.8103521825023258,1.0,1.0
U1166,0.7480410696883014,1.0,1.0
