,entropy,target_entropy,optimal_lambda
U80234,0.665383677128836,0.8157105351341467,0.2
U44190,0.5409118281096172,0.7354670815948307,0.2
U70421,0.5838494978890342,0.7641004501301083,0.2
U8181,0.37753643742420556,0.6144399380120124,0.2
U35337,0.461797596154145,0.6795569116373882,0.25
U44035,0.6273085295177967,0.7920281115704143,0.2
U65211,0.7952832539952787,0.891786551813425,0.25
U66717,0.863370307956794,0.9291772209631455,0.25
U64634,0.6914290807454053,0.8315221468760801,0.25
U18498,0.8365243031847195,0.9146170254181362,0.25
U13878,0.7600390507138471,0.8718021855408755,0.25
U12784,0.6960252556658639,0.8342812809034277,0.2
U54826,0.3880689467541575,0.6229518013090238,0.25
U50612,0.7606236712434131,0.8721374153442869,0.2
U11400,0.6846689508679098,0.8274472495983716,0.25
U52937,0.8486195262346973,0.9212054744923617,0.25
U86056,0.6240428848632934,0.7899638503522128,0.25
U5731,0.7650340001558736,0.8746622206062599,0.2
U34484,0.5447005046118866,0.7380382812645199,0.2
U42035,0.6115709849307205,0.7820300409387868,0.25
U19010,0.660705092495749,0.812837679057602,0.3
U93010,0.739860769319846,0.8601515967083047,0.25
U76747,0.5945282833126319,0.7710566018864191,0.2
U47580,0.5517531165711628,0.742800859296193,0.2
U52206,0.617450413624388,0.7857801305864052,0.25
U52203,0.6993179933002506,0.8362523502509578,0.2
U54225,0.5765982182447795,0.759340647038455,0.2
U62036,0.49800736851644356,0.7056963713357491,0.25
U26257,0.607623111678282,0.7795018355836515,0.25
U26662,0.7172691736575091,0.8469174538628361,0.25
U51029,0.7369435290477497,0.8584541508128141,0.25
U70129,0.49193291899386093,0.7013792975230029,0.2
U26002,0.7751645447551938,0.8804342932639515,0.25
U60443,0.7739038284711489,0.8797180391870733,0.25
U2387,0.7760148284688313,0.8809170383576601,0.2
U64227,0.7705871437359435,0.8778309311797708,0.2
U66627,0.6268146421043249,0.7917162636351011,0.2
U44187,0.601909284583507,0.7758281282497478,0.2
U10516,0.444923881418727,0.6670261474775385,0.2
U47469,0.6157426227736166,0.7846926932077402,0.2
U56555,0.6276352744111984,0.792234355737744,0.25
U84035,0.6697840720732833,0.8184033675842758,0.25
U63532,0.6392494609521376,0.7995307754878093,0.25
U18209,0.5393965713980072,0.7344362269101431,0.2
U87111,0.6922474109869712,0.832014068983795,0.2
U37346,0.6675095927979631,0.8170126025943315,0.2
U52142,0.636257940435421,0.7976577840373784,0.25
U92056,0.7857003529289706,0.8863974012422253,0.25
U32948,0.5014596311525578,0.7081381441163566,0.2
U69198,0.715968634199324,0.8461492978188447,0.2
U63061,0.5354429911705455,0.7317397017864655,0.2
U73845,0.8291377648631333,0.9105700219440201,0.25
U8927,0.6117135960117788,0.7821212156768149,0.2
U56060,0.543124523955824,0.7369698256752606,0.2
U67596,0.6976086200267301,0.8352296810020164,0.2
U38274,0.5533829536034868,0.7438971391284461,0.25
U51553,0.7695333354988426,0.8772304916604544,0.25
U47002,0.5821596240720158,0.7629938558546955,0.2
U83808,0.4107961447774183,0.640933806861066,0.2
U93556,0.6842949323270477,0.8272212112410124,0.25
U14643,0.6274792540690731,0.7921358810640212,0.2
U71887,0.48329028223991827,0.6951908243352456,0.25
U2666,0.6866301128363196,0.8286314698563648,0.2
U69450,0.7840848903406851,0.8854856804831375,0.2
U33758,0.8448050250388367,0.9191327570263377,0.25
