entropy,target_entropy,optimal_lambda
0.5650549824073321,0.6333919900853334,0.05
0.6736118491929622,0.7290004131114527,0.05
0.6994414021363312,0.7512786874556889,0.05
0.6910140423094093,0.7440283746099103,0.05
0.7203595193595878,0.7692002907153588,0.05
0.5084483788350869,0.5820998582867856,0.05
0.754290842890902,0.7980517758189314,0.05
0.6886717358118957,0.742010083897059,0.05
0.6114074240440275,0.6746283168157478,0.05
0.6842737291778525,0.7382167472464601,0.05
0.7582455478667762,0.8013973374037585,0.05
0.4698219143734133,0.5464452008370388,0.05
0.7323752622203201,0.7794476162604218,0.05
0.7825311676746517,0.8218665696131348,0.1
0.738267715330714,0.7844605382887815,0.1
0.7851897500086972,0.8240995885191004,0.1
0.3301161035101097,0.4120342977776696,0.05
0.7521348706692361,0.7962264111567977,0.05
0.5914691628897603,0.6569702227826811,0.05
0.6403677356235304,0.7000733633933,0.05
0.700499310344112,0.7521875999091028,0.05
0.6185178239814845,0.6808975561889644,0.05
0.5892672402201642,0.6550128771614877,0.05
0.5535595714903727,0.6230623253064695,0.1
0.6886563998721992,0.7419968648881757,0.05
0.6869747411452215,0.7405469801521329,0.05
0.5219925433087709,0.5944720484625382,0.05
0.6471810243354346,0.7060258787988911,0.05
0.6971670048551559,0.7493236844504824,0.05
0.6242808412312294,0.6859682352496688,0.05
0.6768655728806353,0.7318160671421519,0.05
0.4540509618870227,0.5317208373917913,0.05
0.7105843405885256,0.7608385444216176,0.05
0.6881229375292215,0.7415370035604476,0.1
0.6741245994113764,0.7294443087193379,0.05
0.796880546553193,0.833901163846626,0.05
0.7257006031324026,0.7737594875547871,0.1
0.703966735957087,0.7551647518246629,0.1
0.49980037288418666,0.5741657211014276,0.05
0.6649281697625332,0.7214725064129388,0.05
0.7053153738479903,0.7563219074517027,0.05
0.683905598407518,0.7378990089943392,0.05
0.5477955121843598,0.6178666807756988,0.05
0.6917059563624877,0.7446243129034668,0.05
0.7462996382519388,0.7912807215661766,0.05
0.6071496724476989,0.6708672821011116,0.05
0.43242405475489065,0.5113613216970978,0.05
0.5725201095945497,0.6400775522409748,0.05
0.5970918741451984,0.6619618007454353,0.1
0.6507895002791196,0.7091733877126686,0.05
0.6840301268523935,0.7380064948733721,0.05
0.7415747863354846,0.7872704747081184,0.05
0.626765567989935,0.6881515683933888,0.05
0.487634275756426,0.5629572021559748,0.05
0.7235112112875899,0.7718914175433744,0.05
0.7869137269700591,0.8255467974673038,0.05
0.6827674462568997,0.7369164392302463,0.05
0.7610974449694674,0.8038077907701884,0.05
0.6360257717171564,0.6962733469242627,0.05
0.6423575581369574,0.7018131005396896,0.05
0.660998755046845,0.7180596337239711,0.05
0.7850150738914814,0.8239529195449018,0.1
0.48403271860411295,0.5596284378530462,0.05
0.549201622594538,0.6191351336578186,0.05
0.6476184999653462,0.7064076554350205,0.05
0.6575227421120483,0.7150371773030398,0.05
0.7206608262348603,0.7694576684689177,0.1
0.5347460035267407,0.6060633722765095,0.05
0.5412636606312469,0.6119657214421581,0.05
0.7877784109172737,0.8262724258404491,0.05
0.731506124184422,0.7787075279054565,0.05
0.5599365821629179,0.6287978869993772,0.05
0.7598154714495764,0.8027244771999008,0.05
0.7046869493804067,0.7557827630378364,0.05
0.4596359368753505,0.5369467048200578,0.05
0.6695664293097132,0.7254958570116797,0.05
0.6716039190563626,0.7272614665627891,0.1
0.7140282091045905,0.7637870591166528,0.05
0.6771575470451268,0.7320685984310126,0.05
0.6145058764161739,0.6773620049676269,0.05
0.5245266911515575,0.5967797444405618,0.05
0.5063188522282456,0.5801486400501897,0.05
0.37446950330308626,0.4557568068907063,0.05
0.3775721265845118,0.4587752080043596,0.05
0.5818218467233698,0.6483835972456997,0.05
0.8486106277489377,0.8769337264437345,0.1
0.6594991229283304,0.7167560671961353,0.05
0.7044109880598748,0.7555459770681943,0.1
0.6661942582318476,0.7225713008580484,0.05
0.6679759108969375,0.7241168286311448,0.05
0.6233237365088201,0.6851267624860731,0.05
0.7145746621935292,0.7642546505760991,0.05
0.6503658040896201,0.7088039980659272,0.05
0.7571306404830503,0.8004545132597998,0.1
0.6993496822615387,0.7511998724577943,0.05
0.7298179367360785,0.7772694998162523,0.05
0.6134401686815978,0.6764220690186457,0.05
0.6730041267294804,0.7284742110722339,0.05
0.6031723275839952,0.6673491735358609,0.05
0.6399677339278511,0.6997235043817576,0.05
0.5821918224345941,0.6487134176999879,0.05
0.621296439369901,0.6833435377809183,0.05
0.4194513873125558,0.49905143430088555,0.05
0.7441218126046646,0.7894329115678479,0.05
0.5404810875285101,0.6112577822545624,0.05
0.5361615698738932,0.6073465176072392,0.05
0.6517906586360979,0.7100460332690746,0.05
0.6881695088972756,0.741577152385161,0.05
0.734522957884572,0.7812756691952822,0.05
0.5277488546610589,0.5997107580060878,0.05
0.7141504508188075,0.7638916656740791,0.1
0.5232362376468349,0.59560488538622,0.05
0.6584625521977114,0.7158546737788779,0.05
0.6063357841903537,0.670147743891222,0.05
0.6548814166825854,0.7127383600418331,0.05
0.6068816133303758,0.6706303190711287,0.05
0.81382323909,0.8480550990177116,0.1
0.6458518417167716,0.7048656096485557,0.05
0.733115391659245,0.7800777127480502,0.05
0.7369322738328301,0.7833251335885184,0.1
0.684077181343021,0.7380471086176567,0.05
0.5941239168759591,0.6593281653551094,0.05
0.7212886537837885,0.7699938925936355,0.05
0.8311724162589404,0.8624876748968244,0.1
0.3830522349692982,0.46409447744695104,0.05
0.5366472069265334,0.607786568940143,0.05
0.412914394015198,0.4928196522835407,0.05
0.6747891852304129,0.730019550234906,0.05
0.7229107642997464,0.7713788965522227,0.1
0.7174396712788312,0.7667050257636915,0.05
0.6165468902144604,0.6791612347900022,0.05
0.7399203700258054,0.7858650720732288,0.05
0.7184872531826472,0.7676005091137361,0.05
0.41381374509587926,0.4936781768434136,0.05
0.4028714955224602,0.48320701723419995,0.05
0.6793642470274727,0.7339764912285629,0.1
0.6647299953915454,0.7213004798651905,0.05
0.6922687494826124,0.7451089527720073,0.05
0.6860444751778069,0.7397446228597555,0.05
0.6349008347508561,0.695287975204862,0.05
0.7784040154275961,0.8183970477897111,0.05
0.6488516511147359,0.707483525464221,0.05
0.5465961401592039,0.6167842120255677,0.05
0.7585640054394412,0.8016665909031306,0.05
0.7836431233923665,0.8228007171415668,0.1
0.5280807085695958,0.600012422475574,0.05
0.7488488814419049,0.7934422972061427,0.1
0.7110867213430622,0.7612688422531415,0.05
0.6634077152376074,0.7201524032754409,0.1
0.7581041145858276,0.8012777493685361,0.05
0.7160108528689649,0.7654832359524059,0.1
0.6739073991613304,0.7292562834293272,0.05
0.7017918295475151,0.7532977082535194,0.1
0.4042382062047384,0.48451796718409906,0.05
0.6456918907693214,0.7047259532044168,0.05
0.7930728363250615,0.8307119539866442,0.1
0.7237884547038359,0.7721280343212423,0.1
0.6429852943713464,0.7023617177036388,0.05
0.6596524944363849,0.7168894137300059,0.05
0.7068342933225311,0.7576246380412859,0.05
0.7408110740960784,0.786621790256045,0.05
0.6049208780239553,0.6688964007619347,0.05
0.631739195482568,0.6925167120382612,0.05
0.4551574087495227,0.5327571574125,0.05
0.5309208292208316,0.6025926237335338,0.05
0.7160012622742606,0.7654750333400873,0.05
0.533286218821027,0.6047394333342067,0.05
0.7861036139284254,0.824866819388031,0.05
0.7144206414890829,0.7641228646807746,0.1
0.49718001302021264,0.5717562610952143,0.05
0.5624924120738716,0.6310929586540893,0.05
0.8138183417924818,0.8480510163811572,0.1
0.68636611440162,0.7400220622877437,0.1
0.6589122098762208,0.716245727240205,0.05
0.6014402626696327,0.6658156490777083,0.05
0.49731947678364224,0.571884563989677,0.05
0.6040040742489834,0.6680852669212183,0.05
0.721818715421068,0.7704465427068068,0.05
0.7492540763299508,0.7937857377891828,0.05
0.6188540382817713,0.6811936382680193,0.05
0.6039258380936261,0.6680160367924468,0.05
0.7762569216093524,0.8165906229208326,0.05
0.6623668823885644,0.7192483728472123,0.05
0.7649906300828335,0.8070954381716132,0.05
0.7040251856254711,0.7552149118797841,0.05
0.666752184797246,0.723055373445611,0.05
0.5590103403041681,0.6279656279912132,0.05
0.7715366701028313,0.8126157918283077,0.05
0.7748683104045753,0.8154218038399174,0.05
0.7127505644295679,0.7626935188953559,0.1
0.5405839775056038,0.611350871324271,0.05
0.7029989317904463,0.7543340851607001,0.05
0.6622469694908225,0.7191442025206057,0.05
0.7107275903639266,0.7609612465386004,0.05
0.5962900895958445,0.6612505908623922,0.05
0.6996745953320459,0.7514790613395578,0.05
0.6995925082438608,0.751408528606607,0.1
0.7199884735290814,0.7688833120323559,0.05
0.5581534646777717,0.627195451222427,0.05
0.6972036273826745,0.7493551741600196,0.1
0.5080246968872718,0.5817117822975011,0.05
0.7533490124763209,0.7972544989174839,0.05
0.6606364225313937,0.7177447276927236,0.05
0.7571725540809384,0.8004899626167054,0.05
0.6214492104724875,0.6834779568084465,0.05
0.6148392476521543,0.6776559657184725,0.05
0.73956994307088,0.7855673088433119,0.05
0.6670535418976244,0.7233168055386802,0.05
0.5206301953958057,0.5932305144891796,0.05
0.7815752331404366,0.8210632823419594,0.1
0.6890770405647065,0.7423594201658985,0.1
0.6357448999742756,0.6960273541926922,0.05
0.4314563051274304,0.5104455898871333,0.05
0.710479363923141,0.7607486224025201,0.1
0.6622324389709765,0.7191315793603454,0.05
0.4944626857268796,0.5692549539495589,0.05
0.6775177273683067,0.7323800918889634,0.05
0.6851967502465027,0.739013267958424,0.05
0.6423141923136564,0.7017751965306289,0.05
0.4806107090540143,0.5564610294830362,0.05
0.6754469057945456,0.7305887378849643,0.1
0.5883184910133565,0.6541690589070931,0.05
0.5864226312927553,0.6524820639021073,0.05
0.693567005686692,0.7462266239601169,0.05
0.7144833094084032,0.764176486390137,0.1
0.8349178563569425,0.865595518988401,0.05
0.2878030844225385,0.36921246531760527,0.05
0.662691935145297,0.7195307326107169,0.05
0.709726638381546,0.7601037669518629,0.05
0.5313902555104705,0.6030188233503854,0.05
0.6373722044182881,0.6974522763980475,0.05
0.7459519553896868,0.7909857970598967,0.05
0.7493931179391847,0.7939035800024971,0.05
0.7046328319835327,0.755736329585492,0.05
0.6693035558666174,0.7252679828839758,0.1
0.7374981690210521,0.7838063131056507,0.05
0.7145981366412827,0.7642747356956862,0.1
0.6401737312723257,0.6999036841464632,0.05
0.8069287551970349,0.8423026238991331,0.05
0.7266963862379031,0.7746087534421358,0.05
0.7213214393581958,0.770021892010713,0.05
0.7018720050294982,0.7533665552412862,0.1
0.7302260443252472,0.7776171940360095,0.05
0.6166082229719907,0.6792152834505556,0.05
0.7604961887566865,0.8032997532010989,0.05
0.6109681669425896,0.6742405471377863,0.05
0.6468988749891046,0.7057796250690919,0.1
0.6771368164263404,0.7320506690359202,0.1
0.8712459005504111,0.8955969339385982,0.1
0.5598650269938409,0.6287336021277482,0.05
0.686263151469514,0.7399332513947376,0.05
0.8216015038674436,0.8545332786903066,0.1
0.6212286771798415,0.6832839136056635,0.05
0.604833813883187,0.6688193821226482,0.05
0.6095659631657965,0.6730023290155406,0.05
0.7152821894126565,0.7648599644531471,0.05
0.6713552872066572,0.7270460692983107,0.1
0.6825020137746965,0.7366872435753016,0.05
0.6589946793794962,0.7163174426392513,0.05
