entropy,target_entropy,optimal_lambda
0.5650549824073321,1.0,1.0
0.6736118491929622,1.0,1.0
0.6994414021363312,1.0,1.0
0.6910140423094093,1.0,1.0
0.7203595193595878,1.0,1.0
0.5084483788350869,1.0,1.0
0.754290842890902,1.0,1.0
0.6886717358118957,1.0,1.0
0.6114074240440275,1.0,1.0
0.6842737291778525,1.0,1.0
0.7582455478667762,1.0,1.0
0.4698219143734133,1.0,1.0
0.7323752622203201,1.0,1.0
0.7825311676746517,1.0,1.0
0.738267715330714,1.0,1.0
0.7851897500086972,1.0,1.0
0.3301161035101097,1.0,1.0
0.7521348706692361,1.0,1.0
0.5914691628897603,1.0,1.0
0.6403677356235304,1.0,1.0
0.700499310344112,1.0,1.0
0.6185178239814845,1.0,1.0
0.5892672402201642,1.0,1.0
0.5535595714903727,1.0,1.0
0.6886563998721992,1.0,1.0
0.6869747411452215,1.0,1.0
0.5219925433087709,1.0,1.0
0.6471810243354346,1.0,1.0
0.6971670048551559,1.0,1.0
0.6242808412312294,1.0,1.0
0.6768655728806353,1.0,1.0
0.4540509618870227,1.0,1.0
0.7105843405885256,1.0,1.0
0.6881229375292215,1.0,1.0
0.6741245994113764,1.0,1.0
0.796880546553193,1.0,1.0
0.7257006031324026,1.0,1.0
0.703966735957087,1.0,1.0
0.49980037288418666,1.0,1.0
0.6649281697625332,1.0,1.0
0.7053153738479903,1.0,1.0
0.683905598407518,1.0,1.0
0.5477955121843598,1.0,1.0
0.6917059563624877,1.0,1.0
0.7462996382519388,1.0,1.0
0.6071496724476989,1.0,1.0
0.43242405475489065,1.0,1.0
0.5725201095945497,1.0,1.0
0.5970918741451984,1.0,1.0
0.6507895002791196,1.0,1.0
0.6840301268523935,1.0,1.0
0.7415747863354846,1.0,1.0
0.626765567989935,1.0,1.0
0.487634275756426,1.0,1.0
0.7235112112875899,1.0,1.0
0.7869137269700591,1.0,1.0
0.6827674462568997,1.0,1.0
0.7610974449694674,1.0,1.0
0.6360257717171564,1.0,1.0
0.6423575581369574,1.0,1.0
0.660998755046845,1.0,1.0
0.7850150738914814,1.0,1.0
0.48403271860411295,1.0,1.0
0.549201622594538,1.0,1.0
0.6476184999653462,1.0,1.0
0.6575227421120483,1.0,1.0
0.7206608262348603,1.0,1.0
0.5347460035267407,1.0,1.0
0.5412636606312469,1.0,1.0
0.7877784109172737,1.0,1.0
0.731506124184422,1.0,1.0
0.5599365821629179,1.0,1.0
0.7598154714495764,1.0,1.0
0.7046869493804067,1.0,1.0
0.4596359368753505,1.0,1.0
0.6695664293097132,1.0,1.0
0.6716039190563626,1.0,1.0
0.7140282091045905,1.0,1.0
0.6771575470451268,1.0,1.0
0.6145058764161739,1.0,1.0
0.5245266911515575,1.0,1.0
0.5063188522282456,1.0,1.0
0.37446950330308626,1.0,1.0
0.3775721265845118,1.0,1.0
